ID_Proyek,Jenis_Proyek,Lokasi,Nama_Proyek,Tanggal_Mulai,Tanggal_Selesai,Anggaran,Kontraktor
CN-0034-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,24/01/2023,01/06/2023,"2,004,784,321.00",PT A
CN-0035-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,24/01/2023,07/04/2023,"2,364,631,347.00",CV Sihombing
CN-0036-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,25/01/2023,18/09/2023,"7,177,546,505.00",PT A
CN-0037-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,25/01/2023,02/12/2023,"420,827,734.00",PT B
CN-0039-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,28/01/2023,21/10/2023,"1,545,241,955.00",CV Sihombing
CN-0040-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,28/01/2023,20/08/2023,"6,831,252,497.00",PT A
CN-0042-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,01/02/2023,20/08/2023,"3,678,391,600.00",PT B
CN-0043-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,02/02/2023,28/11/2023,"888,014,731.00",PT B
CN-0044-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,02/02/2023,12/08/2023,"593,629,020.00",PT D
CN-0046-2023,Drainase,Bandung,Perbaikan Drainase Bandung,03/02/2023,12/01/2024,"213,457,440.00",PT A
CN-0047-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,04/02/2023,19/05/2023,"327,569,561.00",PT A
CN-0048-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,04/02/2023,01/06/2023,"705,483,967.00",CV Sihombing
CN-0049-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,06/02/2023,02/05/2023,"3,447,782,131.00",PT D
CN-0050-2023,Flyover,Depok,Pembuatan Flyover Depok,06/02/2023,22/01/2024,"2,635,808,219.00",PT B
CN-0051-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,08/02/2023,07/12/2023,"2,011,712,412.00",PT D
CN-0052-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,08/02/2023,20/05/2023,"3,202,495,526.00",CV Sihombing
CN-0053-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,10/02/2023,30/11/2023,"1,655,558,865.00",PT B
CN-0054-2023,Flyover,Bandung,Pembuatan Flyover Bandung,10/02/2023,22/06/2023,"4,806,787,932.00",CV Sihombing
CN-0055-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,11/02/2023,07/02/2024,"699,551,361.00",PT A
CN-0056-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,11/02/2023,17/09/2023,"363,997,813.00",PT.  Yuniar Hakim Tbk
CN-0057-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,12/02/2023,16/07/2023,"926,922,328.00",PT C
CN-0059-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,14/02/2023,02/11/2023,"708,312,743.00",PT D
CN-0060-2023,Drainase,Medan,Perbaikan Drainase Medan,14/02/2023,29/10/2023,"419,037,113.00",PT A
CN-0061-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,15/02/2023,23/07/2023,"500,841,363.00",PT.  Yuniar Hakim Tbk
CN-0062-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,16/02/2023,29/12/2023,"209,304,110.00",PT.  Yuniar Hakim Tbk
CN-0063-2023,Jembatan,Medan,Perbaikan Jembatan Medan,17/02/2023,05/06/2023,"3,686,469,051.00",PT.  Yuniar Hakim Tbk
CN-0064-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,17/02/2023,05/07/2023,"353,290,709.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0065-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,17/02/2023,31/10/2023,"8,935,017,863.00",PT A
CN-0066-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,18/02/2023,24/09/2023,"5,518,454,926.00",PT C
CN-0068-2023,Flyover,Bandung,Perbaikan Flyover Bandung,19/02/2023,16/01/2024,"2,293,993,253.00",PT C
CN-0069-2023,Flyover,Makassar,Pembuatan Flyover Makassar,19/02/2023,27/01/2024,"1,790,927,128.00",PT D
CN-0072-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,22/02/2023,04/01/2024,"5,522,312,320.00",PT.  Yuniar Hakim Tbk
CN-0073-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,22/02/2023,28/05/2023,"934,325,560.00",PT D
CN-0074-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,22/02/2023,12/05/2023,"121,142,623.00",CV Sihombing
CN-0075-2023,Jembatan,Medan,Pembuatan Jembatan Medan,25/02/2023,12/09/2023,"1,493,231,996.00",PT C
CN-0076-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,27/02/2023,02/02/2024,"5,860,997,586.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0077-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,27/02/2023,11/08/2023,"551,513,519.00",CV Sihombing
CN-0078-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,28/02/2023,17/09/2023,"359,783,228.00",CV Sihombing
CN-0079-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,01/03/2023,28/06/2023,"4,429,242,773.00",PT D
CN-0080-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,02/03/2023,04/11/2023,"2,034,415,367.00",PT B
CN-0081-2023,Jembatan,Medan,Perbaikan Jembatan Medan,04/03/2023,10/01/2024,"1,597,122,511.00",CV Sihombing
CN-0082-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,04/03/2023,13/07/2023,"966,519,099.00",PT C
CN-0083-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,05/03/2023,20/08/2023,"881,938,572.00",PT.  Yuniar Hakim Tbk
CN-0084-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,05/03/2023,04/04/2023,"4,508,122,990.00",PT D
CN-0085-2023,Flyover,Medan,Pembuatan Flyover Medan,05/03/2023,20/01/2024,"1,863,372,939.00",CV Sihombing
CN-0086-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,06/03/2023,16/05/2023,"512,883,235.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0087-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,06/03/2023,16/02/2024,"4,679,669,631.00",CV Sihombing
CN-0088-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,06/03/2023,09/12/2023,"4,513,453,864.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0089-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,07/03/2023,31/01/2024,"7,126,604,362.00",PT D
CN-0090-2023,Jembatan,Medan,Perbaikan Jembatan Medan,09/03/2023,11/11/2023,"4,952,427,692.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0091-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,09/03/2023,01/11/2023,"542,759,810.00",CV Sihombing
CN-0092-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,09/03/2023,28/05/2023,"5,059,161,734.00",PT D
CN-0093-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,11/03/2023,04/10/2023,"5,462,259,142.00",PT A
CN-0094-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,11/03/2023,12/09/2023,"3,922,070,251.00",PT D
CN-0096-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,15/03/2023,22/04/2023,"6,049,021,945.00",CV Sihombing
CN-0097-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,16/03/2023,03/02/2024,"989,197,622.00",CV Sihombing
CN-0098-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,16/03/2023,08/12/2023,"923,609,376.00",PT C
CN-0099-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,16/03/2023,04/09/2023,"7,000,822,070.00",PT D
CN-0100-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,18/03/2023,27/08/2023,"4,006,400,142.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0101-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,19/03/2023,23/01/2024,"7,054,924,571.00",PT.  Yuniar Hakim Tbk
CN-0103-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,23/03/2023,08/12/2023,"7,221,183,664.00",PT C
CN-0104-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,23/03/2023,14/07/2023,"870,876,750.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0105-2023,Flyover,Makassar,Perbaikan Flyover Makassar,24/03/2023,25/01/2024,"2,164,051,592.00",PT C
CN-0106-2023,Flyover,Bandung,Pembuatan Flyover Bandung,24/03/2023,20/12/2023,"3,746,270,294.00",PT C
CN-0107-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,25/03/2023,03/05/2023,"3,094,147,448.00",PT.  Yuniar Hakim Tbk
CN-0110-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,28/03/2023,23/08/2023,"776,411,814.00",CV Sihombing
CN-0111-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,28/03/2023,18/06/2023,"5,326,254,824.00",PT.  Yuniar Hakim Tbk
CN-0112-2023,Drainase,Bandung,Perbaikan Drainase Bandung,30/03/2023,28/05/2023,"737,874,671.00",PT A
CN-0113-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,31/03/2023,18/11/2023,"6,410,731,228.00",PT B
CN-0114-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,01/04/2023,24/08/2023,"584,530,717.00",PT.  Yuniar Hakim Tbk
CN-0115-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,01/04/2023,10/10/2023,"5,399,904,068.00",PT C
CN-0116-2023,Drainase,Depok,Perbaikan Drainase Depok,01/04/2023,07/12/2023,"620,525,430.00",PT D
CN-0117-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,01/04/2023,21/03/2024,"2,278,233,533.00",PT.  Yuniar Hakim Tbk
CN-0118-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,01/04/2023,18/03/2024,"2,425,304,687.00",PT C
CN-0119-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,01/04/2023,07/05/2023,"3,263,728,734.00",CV Sihombing
CN-0120-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,02/04/2023,25/11/2023,"7,299,558,365.00",PT.  Yuniar Hakim Tbk
CN-0121-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,02/04/2023,07/06/2023,"304,540,977.00",CV Sihombing
CN-0122-2023,Jembatan,Depok,Perbaikan Jembatan Depok,02/04/2023,20/03/2024,"5,043,663,492.00",PT.  Yuniar Hakim Tbk
CN-0123-2023,Flyover,Makassar,Perbaikan Flyover Makassar,04/04/2023,01/10/2023,"3,438,414,318.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0124-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,04/04/2023,30/03/2024,"538,173,778.00",PT.  Yuniar Hakim Tbk
CN-0125-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,06/04/2023,18/11/2023,"4,142,478,037.00",PT B
CN-0126-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,07/04/2023,29/05/2023,"4,552,866,676.00",PT A
CN-0127-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,08/04/2023,14/07/2023,"902,216,985.00",PT D
CN-0128-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,08/04/2023,23/11/2023,"6,582,376,288.00",PT C
CN-0129-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,10/04/2023,14/01/2024,"204,769,884.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0130-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,10/04/2023,29/01/2024,"100,103,542.00",PT B
CN-0131-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,12/04/2023,20/06/2023,"567,827,038.00",PT.  Yuniar Hakim Tbk
CN-0132-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,15/04/2023,12/10/2023,"7,382,613,940.00",PT A
CN-0133-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,15/04/2023,16/07/2023,"3,840,273,247.00",PT C
CN-0134-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,17/04/2023,19/03/2024,"510,276,507.00",CV Sihombing
CN-0135-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,17/04/2023,31/12/2023,"806,848,236.00",PT B
CN-0136-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,18/04/2023,27/11/2023,"3,687,967,195.00",PT C
CN-0138-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,19/04/2023,06/01/2024,"603,531,905.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0139-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,19/04/2023,09/12/2023,"648,732,190.00",PT.  Yuniar Hakim Tbk
CN-0140-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,19/04/2023,10/09/2023,"872,561,312.00",PT C
CN-0141-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,20/04/2023,12/07/2023,"461,667,131.00",PT D
CN-0143-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,21/04/2023,02/04/2024,"339,042,702.00",PT B
CN-0144-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,22/04/2023,17/01/2024,"9,295,259,236.00",PT A
CN-0145-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,22/04/2023,11/02/2024,"7,601,913,991.00",CV Sihombing
CN-0146-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,23/04/2023,15/01/2024,"307,072,675.00",CV Sihombing
CN-0147-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,23/04/2023,14/12/2023,"3,190,510,162.00",PT B
CN-0148-2023,Drainase,Medan,Perbaikan Drainase Medan,25/04/2023,25/06/2023,"724,043,833.00",PT B
CN-0149-2023,Flyover,Depok,Perbaikan Flyover Depok,25/04/2023,08/03/2024,"3,094,852,115.00",PT D
CN-0151-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,29/04/2023,12/04/2024,"5,094,791,554.00",CV Sihombing
CN-0153-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,29/04/2023,25/03/2024,"1,692,019,622.00",PT A
CN-0154-2023,Flyover,Depok,Perbaikan Flyover Depok,29/04/2023,22/04/2024,"4,909,765,412.00",PT.  Yuniar Hakim Tbk
CN-0155-2023,Flyover,Depok,Perbaikan Flyover Depok,29/04/2023,12/08/2023,"3,396,315,626.00",PT C
CN-0159-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,06/05/2023,23/11/2023,"484,231,869.00",CV Sihombing
CN-0160-2023,Flyover,Bandung,Pembuatan Flyover Bandung,07/05/2023,30/01/2024,"1,552,182,554.00",PT B
CN-0161-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,07/05/2023,28/04/2024,"212,901,636.00",PT C
CN-0162-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,09/05/2023,24/01/2023,"862,295,964.00",PT B
CN-0163-2023,Drainase,Bandung,Perbaikan Drainase Bandung,09/05/2023,13/12/2023,"636,437,813.00",PT.  Yuniar Hakim Tbk
CN-0164-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,10/05/2023,11/10/2023,"22,993,543,140.00",PT A
CN-0165-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,10/05/2023,13/03/2024,"5,097,478,222.00",CV Sihombing
CN-0166-2023,Jembatan,Depok,Pembuatan Jembatan Depok,10/05/2023,05/04/2024,"6,825,404,228.00",PT.  Yuniar Hakim Tbk
CN-0167-2023,Drainase,Depok,Perbaikan Drainase Depok,11/05/2023,15/02/2024,"711,908,536.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0168-2023,Flyover,Bandung,Pembuatan Flyover Bandung,11/05/2023,01/12/2023,"4,488,626,883.00",PT A
CN-0169-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,12/05/2023,07/08/2023,"833,760,455.00",PT D
CN-0170-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,13/05/2023,08/04/2024,"796,873,116.00",PT C
CN-0171-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,14/05/2023,01/11/2023,"265,841,157.00",PT B
CN-0172-2023,Jembatan,Medan,Pembuatan Jembatan Medan,15/05/2023,03/01/2024,"2,403,144,972.00",PT B
CN-0173-2023,Jembatan,Medan,Pembuatan Jembatan Medan,16/05/2023,06/05/2024,"2,353,183,969.00",PT C
CN-0174-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,17/05/2023,03/11/2023,"3,010,188,959.00",PT C
CN-0175-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,17/05/2023,14/12/2023,"3,270,056,272.00",PT.  Yuniar Hakim Tbk
CN-0176-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,17/05/2023,25/03/2024,"2,737,545,275.00",PT A
CN-0177-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,17/05/2023,16/10/2023,"435,396,392.00",PT A
CN-0178-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,18/05/2023,30/09/2023,"862,972,191.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0179-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,20/05/2023,24/06/2023,"540,011,263.00",PT A
CN-0180-2023,Jembatan,Medan,Pembuatan Jembatan Medan,22/05/2023,03/07/2023,"1,029,500,364.00",PT D
CN-0181-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,23/05/2023,15/02/2024,"641,123,605.00",CV Sihombing
CN-0182-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,24/05/2023,01/05/2024,"3,739,543,587.00",PT C
CN-0183-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,26/05/2023,01/07/2023,"1,989,239,519.00",PT B
CN-0184-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,26/05/2023,19/01/2024,"751,081,465.00",PT A
CN-0185-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,27/05/2023,18/04/2024,"396,170,576.00",PT D
CN-0186-2023,Flyover,Bandung,Pembuatan Flyover Bandung,27/05/2023,17/03/2024,"3,867,278,410.00",PT B
CN-0187-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,28/05/2023,04/02/2024,"1,475,452,617.00",PT A
CN-0189-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,28/05/2023,16/10/2023,"467,726,708.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0190-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,29/05/2023,16/12/2023,"3,277,415,006.00",PT C
CN-0191-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,30/05/2023,04/03/2024,"636,468,503.00",PT.  Yuniar Hakim Tbk
CN-0192-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,01/06/2023,15/08/2023,"1,206,249,778.00",PT B
CN-0192-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,01/06/2023,15/08/2023,"6,060,807,570.00",PT.  Yuniar Hakim Tbk
CN-0195-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,03/06/2023,11/05/2024,"6,557,069,994.00",PT C
CN-0196-2023,Flyover,Makassar,Pembuatan Flyover Makassar,04/06/2023,11/04/2024,"4,526,013,687.00",PT B
CN-0197-2023,Flyover,Bandung,Pembuatan Flyover Bandung,04/06/2023,14/02/2024,"1,746,655,000.00",CV Sihombing
