ID_Proyek,Jenis_Proyek,Lokasi,Nama_Proyek,Anggaran,Kontraktor
CN-0027-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"1,567,712,170.00",PT.  Yuniar Hakim Tbk
CN-0028-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"3,020,860,458.00",PT.  Yuniar Hakim Tbk
CN-0029-2023,Drainase,Medan,Perbaikan Drainase Medan,"443,234,047.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0030-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"4,609,627,000.00",PT C
CN-0031-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"995,204,213.00",PT.  Yuniar Hakim Tbk
CN-0032-2023,Flyover,Medan,Perbaikan Flyover Medan,"3,867,579,335.00",PT D
CN-0033-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"8,428,412,586.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0034-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,"2,004,784,321.00",PT A
CN-0035-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,"2,364,631,347.00",CV Sihombing
CN-0036-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"7,177,546,505.00",PT A
CN-0037-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"420,827,734.00",PT B
CN-0039-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,"1,545,241,955.00",CV Sihombing
CN-0040-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"6,831,252,497.00",PT A
CN-0042-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,"3,678,391,600.00",PT B
CN-0043-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"888,014,731.00",PT B
CN-0044-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"593,629,020.00",PT D
CN-0046-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"213,457,440.00",PT A
CN-0047-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"327,569,561.00",PT A
CN-0048-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"705,483,967.00",CV Sihombing
CN-0049-2023,Jembatan,Makassar,Perbaikan Jembatan Makassar,"3,447,782,131.00",PT D
CN-0050-2023,Flyover,Depok,Pembuatan Flyover Depok,"2,635,808,219.00",PT B
CN-0051-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,"2,011,712,412.00",PT D
CN-0052-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"3,202,495,526.00",CV Sihombing
CN-0053-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,"1,655,558,865.00",PT B
CN-0054-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"4,806,787,932.00",CV Sihombing
CN-0055-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"699,551,361.00",PT A
CN-0056-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"363,997,813.00",PT.  Yuniar Hakim Tbk
CN-0057-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"926,922,328.00",PT C
CN-0059-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"708,312,743.00",PT D
CN-0060-2023,Drainase,Medan,Perbaikan Drainase Medan,"419,037,113.00",PT A
CN-0061-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"500,841,363.00",PT.  Yuniar Hakim Tbk
CN-0062-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"209,304,110.00",PT.  Yuniar Hakim Tbk
CN-0063-2023,Jembatan,Medan,Perbaikan Jembatan Medan,"3,686,469,051.00",PT.  Yuniar Hakim Tbk
CN-0064-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"353,290,709.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0065-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"8,935,017,863.00",PT A
CN-0066-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"5,518,454,926.00",PT C
CN-0068-2023,Flyover,Bandung,Perbaikan Flyover Bandung,"2,293,993,253.00",PT C
CN-0069-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"1,790,927,128.00",PT D
CN-0072-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,"5,522,312,320.00",PT.  Yuniar Hakim Tbk
CN-0073-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"934,325,560.00",PT D
CN-0074-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"121,142,623.00",CV Sihombing
CN-0075-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"1,493,231,996.00",PT C
CN-0076-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"5,860,997,586.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0077-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"551,513,519.00",CV Sihombing
CN-0078-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"359,783,228.00",CV Sihombing
CN-0079-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,"4,429,242,773.00",PT D
CN-0080-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"2,034,415,367.00",PT B
CN-0081-2023,Jembatan,Medan,Perbaikan Jembatan Medan,"1,597,122,511.00",CV Sihombing
CN-0082-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"966,519,099.00",PT C
CN-0083-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"881,938,572.00",PT.  Yuniar Hakim Tbk
CN-0084-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"4,508,122,990.00",PT D
CN-0085-2023,Flyover,Medan,Pembuatan Flyover Medan,"1,863,372,939.00",CV Sihombing
CN-0086-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"512,883,235.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0087-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"4,679,669,631.00",CV Sihombing
CN-0088-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"4,513,453,864.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0089-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"7,126,604,362.00",PT D
CN-0090-2023,Jembatan,Medan,Perbaikan Jembatan Medan,"4,952,427,692.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0091-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"542,759,810.00",CV Sihombing
CN-0092-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"5,059,161,734.00",PT D
CN-0093-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"5,462,259,142.00",PT A
CN-0094-2023,Flyover,Tomohon,Perbaikan Flyover Tomohon,"3,922,070,251.00",PT D
CN-0096-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"6,049,021,945.00",CV Sihombing
CN-0097-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"989,197,622.00",CV Sihombing
CN-0098-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"923,609,376.00",PT C
CN-0099-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"7,000,822,070.00",PT D
CN-0100-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"4,006,400,142.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0101-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"7,054,924,571.00",PT.  Yuniar Hakim Tbk
CN-0103-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"7,221,183,664.00",PT C
CN-0104-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"870,876,750.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0105-2023,Flyover,Makassar,Perbaikan Flyover Makassar,"2,164,051,592.00",PT C
CN-0106-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"3,746,270,294.00",PT C
CN-0107-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"3,094,147,448.00",PT.  Yuniar Hakim Tbk
CN-0110-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"776,411,814.00",CV Sihombing
CN-0111-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"5,326,254,824.00",PT.  Yuniar Hakim Tbk
CN-0112-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"737,874,671.00",PT A
CN-0113-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"6,410,731,228.00",PT B
CN-0114-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"584,530,717.00",PT.  Yuniar Hakim Tbk
CN-0115-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"5,399,904,068.00",PT C
CN-0116-2023,Drainase,Depok,Perbaikan Drainase Depok,"620,525,430.00",PT D
CN-0117-2023,Flyover,Jakarta,Pembuatan Flyover Jakarta,"2,278,233,533.00",PT.  Yuniar Hakim Tbk
CN-0118-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"2,425,304,687.00",PT C
CN-0119-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"3,263,728,734.00",CV Sihombing
CN-0120-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"7,299,558,365.00",PT.  Yuniar Hakim Tbk
CN-0121-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"304,540,977.00",CV Sihombing
CN-0122-2023,Jembatan,Depok,Perbaikan Jembatan Depok,"5,043,663,492.00",PT.  Yuniar Hakim Tbk
CN-0123-2023,Flyover,Makassar,Perbaikan Flyover Makassar,"3,438,414,318.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0124-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"538,173,778.00",PT.  Yuniar Hakim Tbk
CN-0125-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"4,142,478,037.00",PT B
CN-0126-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,"4,552,866,676.00",PT A
CN-0127-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"902,216,985.00",PT D
CN-0128-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"6,582,376,288.00",PT C
CN-0129-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"204,769,884.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0130-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"100,103,542.00",PT B
CN-0131-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"567,827,038.00",PT.  Yuniar Hakim Tbk
CN-0132-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"7,382,613,940.00",PT A
CN-0133-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"3,840,273,247.00",PT C
CN-0134-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"510,276,507.00",CV Sihombing
CN-0135-2023,Jalan Raya,Bandung,Perbaikan Jalan Raya Bandung,"806,848,236.00",PT B
CN-0136-2023,Flyover,Surabaya,Perbaikan Flyover Surabaya,"3,687,967,195.00",PT C
CN-0138-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"603,531,905.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0139-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"648,732,190.00",PT.  Yuniar Hakim Tbk
CN-0140-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"872,561,312.00",PT C
CN-0141-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"461,667,131.00",PT D
CN-0143-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"339,042,702.00",PT B
CN-0144-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"9,295,259,236.00",PT A
CN-0145-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"7,601,913,991.00",CV Sihombing
CN-0146-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"307,072,675.00",CV Sihombing
CN-0147-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"3,190,510,162.00",PT B
CN-0148-2023,Drainase,Medan,Perbaikan Drainase Medan,"724,043,833.00",PT B
CN-0149-2023,Flyover,Depok,Perbaikan Flyover Depok,"3,094,852,115.00",PT D
CN-0151-2023,Jembatan,Surabaya,Pembuatan Jembatan Surabaya,"5,094,791,554.00",CV Sihombing
CN-0153-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"1,692,019,622.00",PT A
CN-0154-2023,Flyover,Depok,Perbaikan Flyover Depok,"4,909,765,412.00",PT.  Yuniar Hakim Tbk
CN-0155-2023,Flyover,Depok,Perbaikan Flyover Depok,"3,396,315,626.00",PT C
CN-0159-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"484,231,869.00",CV Sihombing
CN-0160-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"1,552,182,554.00",PT B
CN-0161-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"212,901,636.00",PT C
CN-0162-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"862,295,964.00",PT B
CN-0163-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"636,437,813.00",PT.  Yuniar Hakim Tbk
CN-0164-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"22,993,543,140.00",PT A
CN-0165-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"5,097,478,222.00",CV Sihombing
CN-0166-2023,Jembatan,Depok,Pembuatan Jembatan Depok,"6,825,404,228.00",PT.  Yuniar Hakim Tbk
CN-0167-2023,Drainase,Depok,Perbaikan Drainase Depok,"711,908,536.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0168-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"4,488,626,883.00",PT A
CN-0169-2023,Jalan Raya,Bau-Bau,Perbaikan Jalan Raya Bau-Bau,"833,760,455.00",PT D
CN-0170-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"796,873,116.00",PT C
CN-0171-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"265,841,157.00",PT B
CN-0172-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"2,403,144,972.00",PT B
CN-0173-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"2,353,183,969.00",PT C
CN-0174-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"3,010,188,959.00",PT C
CN-0175-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"3,270,056,272.00",PT.  Yuniar Hakim Tbk
CN-0176-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,"2,737,545,275.00",PT A
CN-0177-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"435,396,392.00",PT A
CN-0178-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"862,972,191.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0179-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"540,011,263.00",PT A
CN-0180-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"1,029,500,364.00",PT D
CN-0181-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"641,123,605.00",CV Sihombing
CN-0182-2023,Flyover,Bau-Bau,Pembuatan Flyover Bau-Bau,"3,739,543,587.00",PT C
CN-0183-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"1,989,239,519.00",PT B
CN-0184-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"751,081,465.00",PT A
CN-0185-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"396,170,576.00",PT D
CN-0186-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"3,867,278,410.00",PT B
CN-0187-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"1,475,452,617.00",PT A
CN-0189-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"467,726,708.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0190-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"3,277,415,006.00",PT C
CN-0191-2023,Drainase,Bau-Bau,Perbaikan Drainase Bau-Bau,"636,468,503.00",PT.  Yuniar Hakim Tbk
CN-0192-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"1,206,249,778.00",PT B
CN-0192-2023,Gedung,Surabaya,Perbaikan Gedung Pemerintah Surabaya,"6,060,807,570.00",PT.  Yuniar Hakim Tbk
CN-0195-2023,Jembatan,Jakarta,Pembuatan Jembatan Jakarta,"6,557,069,994.00",PT C
CN-0196-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"4,526,013,687.00",PT B
CN-0197-2023,Flyover,Bandung,Pembuatan Flyover Bandung,"1,746,655,000.00",CV Sihombing
CN-0198-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"846,453,122.00",PT D
CN-0199-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"203,965,243.00",PT D
CN-0200-2023,Flyover,Bau-Bau,Perbaikan Flyover Bau-Bau,"10,119,728,525.00",PT B
CN-0201-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"4,915,550,556.00",PT A
CN-0202-2023,Drainase,Tomohon,Perbaikan Drainase Tomohon,"490,931,117.00",CV Sihombing
CN-0203-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"345,656,676.00",CV Sihombing
CN-0204-2023,Flyover,Bau-Bau,Perbaikan Flyover Bau-Bau,"2,994,383,941.00",PT B
CN-0205-2023,Gedung,Jakarta,Perbaikan Gedung Pemerintah Jakarta,"6,364,217,108.00",PT D
CN-0206-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"3,757,150,419.00",PT A
CN-0207-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"4,655,083,177.00",PT B
CN-0208-2023,Drainase,Bandung,Perbaikan Drainase Bandung,"612,637,613.00",PT B
CN-0209-2023,Jembatan,Bandung,Pembuatan Jembatan Bandung,"765,288,058.00",CV Sihombing
CN-0210-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"996,933,795.00",PT D
CN-0212-2023,Jembatan,Bau-Bau,Pembuatan Jembatan Bau-Bau,"6,951,220,052.00",CV Sihombing
CN-0214-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"1,258,024,298.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0215-2023,Drainase,Makassar,Perbaikan Drainase Makassar,"375,761,303.00",PT A
CN-0216-2023,Gedung,Depok,Perbaikan Gedung Pemerintah Depok,"6,540,978,129.00",PT D
CN-0217-2023,Drainase,Jakarta,Perbaikan Drainase Jakarta,"342,017,973.00",PT.  Yuniar Hakim Tbk
CN-0218-2023,Jembatan,Bau-Bau,Perbaikan Jembatan Bau-Bau,"4,806,164,886.00",PT.  Yuniar Hakim Tbk
CN-0219-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"9,209,856,007.00",PT A
CN-0220-2023,Drainase,Makassar,Perbaikan Drainase Makassar,"269,400,319.00",CV Sihombing
CN-0221-2023,Gedung,Tomohon,Perbaikan Gedung Pemerintah Tomohon,"3,098,986,860.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0222-2023,Jembatan,Surabaya,Perbaikan Jembatan Surabaya,"2,873,619,122.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0223-2023,Drainase,Depok,Perbaikan Drainase Depok,"735,575,459.00",PT.  Yuniar Hakim Tbk
CN-0224-2023,Gedung,Medan,Perbaikan Gedung Pemerintah Medan,"2,354,261,081.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0225-2023,Jembatan,Medan,Pembuatan Jembatan Medan,"2,697,497,947.00",PT A
CN-0226-2023,Jalan Raya,Tomohon,Perbaikan Jalan Raya Tomohon,"277,801,695.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0227-2023,Gedung,Bandung,Perbaikan Gedung Pemerintah Bandung,"5,365,371,920.00",PT.  Yuniar Hakim Tbk
CN-0228-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"737,701,834.00",PT A
CN-0230-2023,Drainase,Surabaya,Perbaikan Drainase Surabaya,"343,573,944.00",PT D
CN-0231-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"802,980,870.00",PT B
CN-0232-2023,Jembatan,Bandung,Perbaikan Jembatan Bandung,"1,132,821,017.00",PT D
CN-0233-2023,Drainase,Depok,Perbaikan Drainase Depok,"646,267,645.00",PT A
CN-0234-2023,Jembatan,Tomohon,Pembuatan Jembatan Tomohon,"1,091,849,633.00",PT C
CN-0235-2023,Jalan Raya,Jakarta,Perbaikan Jalan Raya Jakarta,"969,437,655.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0236-2023,Flyover,Surabaya,Pembuatan Flyover Surabaya,"3,165,392,319.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0237-2023,Jembatan,Tomohon,Perbaikan Jembatan Tomohon,"5,204,534,546.00",PT.  Yuniar Hakim Tbk
CN-0238-2023,Gedung,Makassar,Perbaikan Gedung Pemerintah Makassar,"3,942,664,693.00",PT A
CN-0239-2023,Flyover,Makassar,Pembuatan Flyover Makassar,"1,996,986,704.00",PT C
CN-0240-2023,Jembatan,Jakarta,Perbaikan Jembatan Jakarta,"1,005,719,572.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0241-2023,Flyover,Makassar,Perbaikan Flyover Makassar,"4,155,376,448.00",PT D
CN-0242-2023,Gedung,Bau-Bau,Perbaikan Gedung Pemerintah Bau-Bau,"6,519,755,129.00",PT B
CN-0243-2023,Jalan Raya,Makassar,Perbaikan Jalan Raya Makassar,"509,824,821.00",PT C
CN-0245-2023,Flyover,Medan,Pembuatan Flyover Medan,"2,236,844,121.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0246-2023,Jalan Raya,Depok,Perbaikan Jalan Raya Depok,"369,427,315.00",PT.  Yuniar Hakim Tbk
CN-0247-2023,Jembatan,Depok,Perbaikan Jembatan Depok,"3,688,243,132.00",PT.  Lailasari Hariyah (Persero) Tbk
CN-0248-2023,Jalan Raya,Surabaya,Perbaikan Jalan Raya Surabaya,"381,166,441.00",PT C
CN-0250-2023,Jalan Raya,Medan,Perbaikan Jalan Raya Medan,"283,236,486.00",CV Sihombing
